English name,Set name,Card number,Variant,Exclusive full art,Image link
Vaporeon,Gem Pack Vol. 2 (CBB2C),02 05/14,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/205.png
Vaporeon,Gem Pack Vol. 2 (CBB2C),02 06/14,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/206.png
Vaporeon,Gem Pack Vol. 2 (CBB2C),02 07/14,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/207.png
Vaporeon,Gem Pack Vol. 2 (CBB2C),02 08/14,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/208.png
Vaporeon,Gem Pack Vol. 2 (CBB2C),02 09/14,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/209.png
Vaporeon,Gem Pack Vol. 2 (CBB2C),02 10/14,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/210.png
Vaporeon,Gem Pack Vol. 2 (CBB2C),02 11/14,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/211.png
Vaporeon,Gem Pack Vol. 2 (CBB2C),02 12/14,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/212.png
Vaporeon V,Gem Pack Vol. 2 (CBB2C),02 13/14,Pokémon V,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/213.png
Vaporeon VMAX,Gem Pack Vol. 2 (CBB2C),02 14/14,Pokémon VMAX,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/214.png
Jolteon,Gem Pack Vol. 2 (CBB2C),03 01/14,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/301.png
Jolteon,Gem Pack Vol. 2 (CBB2C),03 02/14,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/302.png
Jolteon,Gem Pack Vol. 2 (CBB2C),03 03/14,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/303.png
Jolteon,Gem Pack Vol. 2 (CBB2C),03 04/14,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/304.png
Jolteon,Gem Pack Vol. 2 (CBB2C),03 05/14,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/305.png
Jolteon,Gem Pack Vol. 2 (CBB2C),03 06/14,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/306.png
Jolteon,Gem Pack Vol. 2 (CBB2C),03 07/14,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/307.png
Jolteon,Gem Pack Vol. 2 (CBB2C),03 08/14,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/308.png
Jolteon,Gem Pack Vol. 2 (CBB2C),03 09/14,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/309.png
Jolteon,Gem Pack Vol. 2 (CBB2C),03 10/14,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/310.png
Jolteon,Gem Pack Vol. 2 (CBB2C),03 11/14,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/311.png
Jolteon,Gem Pack Vol. 2 (CBB2C),03 12/14,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/312.png
Jolteon V,Gem Pack Vol. 2 (CBB2C),03 13/14,Pokémon V,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/313.png
Jolteon VMAX,Gem Pack Vol. 2 (CBB2C),03 14/14,Pokémon VMAX,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/314.png
Flareon,Gem Pack Vol. 2 (CBB2C),04 01/14,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/401.png
Flareon,Gem Pack Vol. 2 (CBB2C),04 02/14,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/402.png
Flareon,Gem Pack Vol. 2 (CBB2C),04 03/14,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/403.png
Flareon,Gem Pack Vol. 2 (CBB2C),04 04/14,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/404.png
Flareon,Gem Pack Vol. 2 (CBB2C),04 05/14,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/405.png
Flareon,Gem Pack Vol. 2 (CBB2C),04 06/14,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/406.png
Flareon,Gem Pack Vol. 2 (CBB2C),04 07/14,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/407.png
Flareon,Gem Pack Vol. 2 (CBB2C),04 08/14,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/408.png
Flareon,Gem Pack Vol. 2 (CBB2C),04 09/14,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/409.png
Flareon,Gem Pack Vol. 2 (CBB2C),04 10/14,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/410.png
Flareon,Gem Pack Vol. 2 (CBB2C),04 11/14,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/411.png
Flareon,Gem Pack Vol. 2 (CBB2C),04 12/14,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/412.png
Flareon V,Gem Pack Vol. 2 (CBB2C),04 13/14,Pokémon V,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/413.png
Flareon VMAX,Gem Pack Vol. 2 (CBB2C),04 14/14,Pokémon VMAX,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/414.png
Espeon,Gem Pack Vol. 2 (CBB2C),05 01/14,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/501.png
Espeon,Gem Pack Vol. 2 (CBB2C),05 02/14,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/502.png
Espeon,Gem Pack Vol. 2 (CBB2C),05 03/14,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/503.png
Espeon,Gem Pack Vol. 2 (CBB2C),05 04/14,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/504.png
Espeon,Gem Pack Vol. 2 (CBB2C),05 05/14,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/505.png
Espeon,Gem Pack Vol. 2 (CBB2C),05 06/14,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/506.png
Espeon,Gem Pack Vol. 2 (CBB2C),05 07/14,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/507.png
Espeon,Gem Pack Vol. 2 (CBB2C),05 08/14,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/508.png
Espeon,Gem Pack Vol. 2 (CBB2C),05 09/14,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/509.png
Espeon,Gem Pack Vol. 2 (CBB2C),05 10/14,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/510.png
Espeon,Gem Pack Vol. 2 (CBB2C),05 11/14,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/511.png
Espeon,Gem Pack Vol. 2 (CBB2C),05 12/14,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/512.png
Espeon V,Gem Pack Vol. 2 (CBB2C),05 13/14,Pokémon V,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/513.png
Espeon VMAX,Gem Pack Vol. 2 (CBB2C),05 14/14,Pokémon VMAX,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/514.png
Umbreon,Gem Pack Vol. 2 (CBB2C),06 01/15,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/601.png
Umbreon,Gem Pack Vol. 2 (CBB2C),06 02/15,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/602.png
Umbreon,Gem Pack Vol. 2 (CBB2C),06 03/15,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/603.png
Umbreon,Gem Pack Vol. 2 (CBB2C),06 04/15,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/604.png
Umbreon,Gem Pack Vol. 2 (CBB2C),06 05/15,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/605.png
Umbreon,Gem Pack Vol. 2 (CBB2C),06 06/15,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/606.png
Umbreon,Gem Pack Vol. 2 (CBB2C),06 07/15,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/607.png
Umbreon,Gem Pack Vol. 2 (CBB2C),06 08/15,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/608.png
Umbreon,Gem Pack Vol. 2 (CBB2C),06 09/15,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/609.png
Umbreon,Gem Pack Vol. 2 (CBB2C),06 10/15,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/610.png
Umbreon,Gem Pack Vol. 2 (CBB2C),06 11/15,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/611.png
Umbreon,Gem Pack Vol. 2 (CBB2C),06 12/15,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/612.png
Umbreon V,Gem Pack Vol. 2 (CBB2C),06 13/15,Pokémon V,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/613.png
Umbreon VMAX,Gem Pack Vol. 2 (CBB2C),06 14/15,Pokémon VMAX,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/614.png
Umbreon,Gem Pack Vol. 2 (CBB2C),06 15/15,Exclusive full art,Yes,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/615.png
Leafeon,Gem Pack Vol. 2 (CBB2C),07 01/15,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/701.png
Leafeon,Gem Pack Vol. 2 (CBB2C),07 02/15,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/702.png
Leafeon,Gem Pack Vol. 2 (CBB2C),07 03/15,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/703.png
Leafeon,Gem Pack Vol. 2 (CBB2C),07 04/15,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/704.png
Leafeon,Gem Pack Vol. 2 (CBB2C),07 05/15,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/705.png
Leafeon,Gem Pack Vol. 2 (CBB2C),07 06/15,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/706.png
Leafeon,Gem Pack Vol. 2 (CBB2C),07 07/15,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/707.png
Leafeon,Gem Pack Vol. 2 (CBB2C),07 08/15,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/708.png
Leafeon,Gem Pack Vol. 2 (CBB2C),07 09/15,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/709.png
Leafeon,Gem Pack Vol. 2 (CBB2C),07 10/15,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/710.png
Leafeon,Gem Pack Vol. 2 (CBB2C),07 11/15,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/711.png
Leafeon,Gem Pack Vol. 2 (CBB2C),07 12/15,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/712.png
Leafeon V,Gem Pack Vol. 2 (CBB2C),07 13/15,Pokémon V,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/713.png
Leafeon VMAX,Gem Pack Vol. 2 (CBB2C),07 14/15,Pokémon VMAX,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/714.png
Leafeon,Gem Pack Vol. 2 (CBB2C),07 15/15,Exclusive full art,Yes,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/715.png
Glaceon,Gem Pack Vol. 2 (CBB2C),08 01/14,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/801.png
Glaceon,Gem Pack Vol. 2 (CBB2C),08 02/14,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/802.png
Glaceon,Gem Pack Vol. 2 (CBB2C),08 03/14,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/803.png
Glaceon,Gem Pack Vol. 2 (CBB2C),08 04/14,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/804.png
Glaceon,Gem Pack Vol. 2 (CBB2C),08 05/14,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/805.png
Glaceon,Gem Pack Vol. 2 (CBB2C),08 06/14,Star finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/806.png
Glaceon,Gem Pack Vol. 2 (CBB2C),08 07/14,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/807.png
Glaceon,Gem Pack Vol. 2 (CBB2C),08 08/14,Flower finish,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/808.png
Glaceon,Gem Pack Vol. 2 (CBB2C),08 09/14,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/809.png
Glaceon,Gem Pack Vol. 2 (CBB2C),08 10/14,Master Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/810.png
Glaceon,Gem Pack Vol. 2 (CBB2C),08 11/14,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/811.png
Glaceon,Gem Pack Vol. 2 (CBB2C),08 12/14,Gem Pack logo gold foil,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/812.png
Glaceon V,Gem Pack Vol. 2 (CBB2C),08 13/14,Pokémon V,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/813.png
Glaceon VMAX,Gem Pack Vol. 2 (CBB2C),08 14/14,Pokémon VMAX,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/814.png
Sylveon,Gem Pack Vol. 2 (CBB2C),09 01/15,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/901.png
Sylveon,Gem Pack Vol. 2 (CBB2C),09 02/15,Type/attribute pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/902.png
Sylveon,Gem Pack Vol. 2 (CBB2C),09 03/15,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/903.png
Sylveon,Gem Pack Vol. 2 (CBB2C),09 04/15,Poké Ball pattern,,https://dextcg.com/cdn-cgi/image/w%3D2048%2Cq%3D75%2Cf%3Dauto/https%3A//static.dextcg.com/cards/scn_cbb2/904.png
